trial;start_time;rt;correct;fact_id;question;context_1;context_2;answer;chosen_context;encounter_2;reading_time;fogetting_rate
11;1435104.0;757.0;TRUE;4;scheren;Ik moet iedere morgen opnieuw de stoppels van mijn gezicht <b>scheren</b>.;Mijn vader heeft me geleerd hoe ik moet <b>scheren</b>.;"shave;to shave<b>";scheren;FALSE;1285.1;0.250390625
12;1438006.0;1747.0;FALSE;5;nieuwsgierig;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;Ik ben <b>nieuwsgierig</b> naar de resultaten van het onderzoek.;curious;nieuwsgierig;FALSE;797.6;0.3
13;1441257.0;6900.0;FALSE;6;verwarring;De fout op de poster zorgde voor veel <b>verwarring</b>.;Tegenstrijdige berichten leiden tot <b>verwarring</b>.;confusion;verwarring;FALSE;934.1;0.3
14;1450483.0;4209.0;FALSE;5;nieuwsgierig;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;Ik ben <b>nieuwsgierig</b> naar de resultaten van het onderzoek.;curious;nieuwsgierig;FALSE;797.6;0.349609375
15;1456207.0;3194.0;TRUE;6;verwarring;De fout op de poster zorgde voor veel <b>verwarring</b>.;Tegenstrijdige berichten leiden tot <b>verwarring</b>.;confusion;verwarring;FALSE;934.1;0.349609375
16;1462711.0;inf;TRUE;3;bijeenkomst;SNIC is een <b>bijeenkomst</b> met studenten van verschillende opleidingen.;De <b>bijeenkomst</b> begint om 10 uur.;"meeting;gathering";bijeenkomst;FALSE;1304.6;0.4488281249999999
17;1469175.0;1401.0;FALSE;7;eenzaamheid;Tijdens de pandemie hadden veel studenten last van <b>eenzaamheid</b>.;<b>Eenzaamheid</b> is een groot probleem onder ouderen.;"loneliness;solitude";eenzaamheid;FALSE;1207.1;0.3
18;1472050.0;inf;TRUE;5;nieuwsgierig;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;Ik ben <b>nieuwsgierig</b> naar de resultaten van het onderzoek.;curious;nieuwsgierig;FALSE;797.6;0.39921874999999996
19;1486110.0;inf;FALSE;7;eenzaamheid;Tijdens de pandemie hadden veel studenten last van <b>eenzaamheid</b>.;<b>Eenzaamheid</b> is een groot probleem onder ouderen.;"loneliness;solitude";eenzaamheid;FALSE;1207.1;0.349609375
20;1493764.0;3124.0;TRUE;3;bijeenkomst;SNIC is een <b>bijeenkomst</b> met studenten van verschillende opleidingen.;De <b>bijeenkomst</b> begint om 10 uur.;"meeting;gathering";bijeenkomst;FALSE;1304.6;0.49843749999999987
21;1499425.0;inf;TRUE;6;verwarring;De fout op de poster zorgde voor veel <b>verwarring</b>.;Tegenstrijdige berichten leiden tot <b>verwarring</b>.;confusion;verwarring;FALSE;934.1;0.39921874999999996
22;1505423.0;2718.0;TRUE;5;nieuwsgierig;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;Ik ben <b>nieuwsgierig</b> naar de resultaten van het onderzoek.;curious;nieuwsgierig;FALSE;797.6;0.4488281249999999
23;1512345.0;975.0;TRUE;3;bijeenkomst;SNIC is een <b>bijeenkomst</b> met studenten van verschillende opleidingen.;De <b>bijeenkomst</b> begint om 10 uur.;"meeting;gathering";bijeenkomst;FALSE;1304.6;0.4980468749999999
24;1515582.0;inf;FALSE;7;eenzaamheid;Tijdens de pandemie hadden veel studenten last van <b>eenzaamheid</b>.;<b>Eenzaamheid</b> is een groot probleem onder ouderen.;"loneliness;solitude";eenzaamheid;FALSE;1207.1;0.39921874999999996
25;1530348.0;1857.0;TRUE;6;verwarring;De fout op de poster zorgde voor veel <b>verwarring</b>.;Tegenstrijdige berichten leiden tot <b>verwarring</b>.;confusion;verwarring;FALSE;934.1;0.394140625
26;1536295.0;inf;TRUE;5;nieuwsgierig;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;Ik ben <b>nieuwsgierig</b> naar de resultaten van het onderzoek.;curious;nieuwsgierig;FALSE;797.6;0.49843749999999987
27;1541996.0;888.0;TRUE;3;bijeenkomst;SNIC is een <b>bijeenkomst</b> met studenten van verschillende opleidingen.;De <b>bijeenkomst</b> begint om 10 uur.;"meeting;gathering";bijeenkomst;FALSE;1304.6;0.4976562499999999
28;1545288.0;inf;FALSE;7;eenzaamheid;Tijdens de pandemie hadden veel studenten last van <b>eenzaamheid</b>.;<b>Eenzaamheid</b> is een groot probleem onder ouderen.;"loneliness;solitude";eenzaamheid;FALSE;1207.1;0.4488281249999999
29;1551008.0;inf;TRUE;5;nieuwsgierig;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;Ik ben <b>nieuwsgierig</b> naar de resultaten van het onderzoek.;curious;nieuwsgierig;FALSE;797.6;0.535546875
30;1557743.0;2199.0;TRUE;1;tevreden;Mijn baas was erg <b>tevreden</b> over het resultaat.;Hij is niet snel <b>tevreden</b>,hij is erg kritisch.;satisfied;tevreden;FALSE;875.6;0.25859375000000007
31;1563060.0;inf;TRUE;5;nieuwsgierig;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;Ik ben <b>nieuwsgierig</b> naar de resultaten van het onderzoek.;curious;nieuwsgierig;FALSE;797.6;0.5476562500000001
32;1567952.0;444.0;TRUE;7;eenzaamheid;Tijdens de pandemie hadden veel studenten last van <b>eenzaamheid</b>.;<b>Eenzaamheid</b> is een groot probleem onder ouderen.;"loneliness;solitude";eenzaamheid;FALSE;1207.1;0.44843749999999993
33;1572831.0;1746.0;FALSE;2;verwondering;Kinderen zitten vol <b>verwondering</b>.;Ik sta vol <b>verwondering</b> naar de sterren te kijken.;"wonder;surprise";verwondering;FALSE;622.1;0.349609375
34;1580334.0;1420.0;TRUE;3;bijeenkomst;SNIC is een <b>bijeenkomst</b> met studenten van verschillende opleidingen.;De <b>bijeenkomst</b> begint om 10 uur.;"meeting;gathering";bijeenkomst;FALSE;1304.6;0.44804687499999996
35;1584179.0;inf;TRUE;5;nieuwsgierig;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;Ik ben <b>nieuwsgierig</b> naar de resultaten van het onderzoek.;curious;nieuwsgierig;FALSE;797.6;0.5605468750000001
36;1588785.0;1204.0;TRUE;4;scheren;Ik moet iedere morgen opnieuw de stoppels van mijn gezicht <b>scheren</b>.;Mijn vader heeft me geleerd hoe ik moet <b>scheren</b>.;"shave;to shave<b>";scheren;FALSE;1285.1;0.20078125
37;1592413.0;1698.0;TRUE;6;verwarring;De fout op de poster zorgde voor veel <b>verwarring</b>.;Tegenstrijdige berichten leiden tot <b>verwarring</b>.;confusion;verwarring;FALSE;934.1;0.38750000000000007
38;1599313.0;1779.0;TRUE;5;nieuwsgierig;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;Ik ben <b>nieuwsgierig</b> naar de resultaten van het onderzoek.;curious;nieuwsgierig;FALSE;797.6;0.5601562500000001
39;1603559.0;1798.0;TRUE;7;eenzaamheid;Tijdens de pandemie hadden veel studenten last van <b>eenzaamheid</b>.;<b>Eenzaamheid</b> is een groot probleem onder ouderen.;"loneliness;solitude";eenzaamheid;FALSE;1207.1;0.44257812499999993
40;1609470.0;912.0;FALSE;8;zelfstandig;Het is prettig als werknemers <b>zelfstandig</b> kunnen werken.;Ik vond het in het begin moeilijk om <b>zelfstandig</b> te wonen.;"independent;independently";zelfstandig;FALSE;1070.6;0.3
41;1614113.0;9179.0;FALSE;9;begroeten;Wij <b>begroeten</b> elkaar altijd als we thuis komen.;Wat is de beste manier om een kennis te <b>begroeten</b>?;"greet;to greet";begroeten;FALSE;895.1;0.3
42;1624783.0;inf;FALSE;8;zelfstandig;Het is prettig als werknemers <b>zelfstandig</b> kunnen werken.;Ik vond het in het begin moeilijk om <b>zelfstandig</b> te wonen.;"independent;independently";zelfstandig;FALSE;1070.6;0.349609375
43;1632651.0;2582.0;TRUE;9;begroeten;Wij <b>begroeten</b> elkaar altijd als we thuis komen.;Wat is de beste manier om een kennis te <b>begroeten</b>?;"greet;to greet";begroeten;FALSE;895.1;0.283203125
44;0.0;1639767.0;TRUE;1;tevreden;Mijn baas was erg <b>tevreden</b> over het resultaat.;Hij is niet snel <b>tevreden</b>,hij is erg kritisch.;satisfied;tevreden;FALSE;875.6;0.3
45;1642747.0;inf;TRUE;5;nieuwsgierig;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;Ik ben <b>nieuwsgierig</b> naar de resultaten van het onderzoek.;curious;nieuwsgierig;FALSE;797.6;0.6097656250000002
46;1650817.0;3809.0;FALSE;2;verwondering;Kinderen zitten vol <b>verwondering</b>.;Ik sta vol <b>verwondering</b> naar de sterren te kijken.;"wonder;surprise";verwondering;FALSE;622.1;0.38125
47;1657323.0;inf;TRUE;5;nieuwsgierig;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;Ik ben <b>nieuwsgierig</b> naar de resultaten van het onderzoek.;curious;nieuwsgierig;FALSE;797.6;0.6593750000000003
48;1670444.0;917.0;FALSE;8;zelfstandig;Het is prettig als werknemers <b>zelfstandig</b> kunnen werken.;Ik vond het in het begin moeilijk om <b>zelfstandig</b> te wonen.;"independent;independently";zelfstandig;FALSE;1070.6;0.39921874999999996
49;1674943.0;3304.0;TRUE;5;nieuwsgierig;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;Ik ben <b>nieuwsgierig</b> naar de resultaten van het onderzoek.;curious;nieuwsgierig;FALSE;797.6;0.6839843750000003
50;1680916.0;1194.0;TRUE;7;eenzaamheid;Tijdens de pandemie hadden veel studenten last van <b>eenzaamheid</b>.;<b>Eenzaamheid</b> is een groot probleem onder ouderen.;"loneliness;solitude";eenzaamheid;FALSE;1207.1;0.39296875
51;1685393.0;inf;TRUE;5;nieuwsgierig;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;Ik ben <b>nieuwsgierig</b> naar de resultaten van het onderzoek.;curious;nieuwsgierig;FALSE;797.6;0.6960937500000003
52;1692443.0;inf;FALSE;6;verwarring;De fout op de poster zorgde voor veel <b>verwarring</b>.;Tegenstrijdige berichten leiden tot <b>verwarring</b>.;confusion;verwarring;FALSE;934.1;0.4003906250000001
53;1698640.0;inf;TRUE;5;nieuwsgierig;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;Ik ben <b>nieuwsgierig</b> naar de resultaten van het onderzoek.;curious;nieuwsgierig;FALSE;797.6;0.6980468750000003
54;1704540.0;911.0;TRUE;8;zelfstandig;Het is prettig als werknemers <b>zelfstandig</b> kunnen werken.;Ik vond het in het begin moeilijk om <b>zelfstandig</b> te wonen.;"independent;independently";zelfstandig;FALSE;1070.6;0.398828125
55;1708591.0;inf;TRUE;5;nieuwsgierig;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;Ik ben <b>nieuwsgierig</b> naar de resultaten van het onderzoek.;curious;nieuwsgierig;FALSE;797.6;0.7234375000000003
56;1714124.0;inf;TRUE;3;bijeenkomst;SNIC is een <b>bijeenkomst</b> met studenten van verschillende opleidingen.;De <b>bijeenkomst</b> begint om 10 uur.;"meeting;gathering";bijeenkomst;FALSE;1304.6;0.4976562499999999
57;1720449.0;inf;TRUE;5;nieuwsgierig;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;Ik ben <b>nieuwsgierig</b> naar de resultaten van het onderzoek.;curious;nieuwsgierig;FALSE;797.6;0.7730468750000004
58;1725746.0;3066.0;TRUE;2;verwondering;Kinderen zitten vol <b>verwondering</b>.;Ik sta vol <b>verwondering</b> naar de sterren te kijken.;"wonder;surprise";verwondering;FALSE;622.1;0.405859375
59;1731272.0;2452.0;TRUE;5;nieuwsgierig;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;Ik ben <b>nieuwsgierig</b> naar de resultaten van het onderzoek.;curious;nieuwsgierig;FALSE;797.6;0.7726562500000004
60;1736152.0;976.0;TRUE;3;bijeenkomst;SNIC is een <b>bijeenkomst</b> met studenten van verschillende opleidingen.;De <b>bijeenkomst</b> begint om 10 uur.;"meeting;gathering";bijeenkomst;FALSE;1304.6;0.44804687499999996
61;1739563.0;inf;TRUE;5;nieuwsgierig;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;Ik ben <b>nieuwsgierig</b> naar de resultaten van het onderzoek.;curious;nieuwsgierig;FALSE;797.6;0.8222656250000004
62;1747025.0;1715.0;FALSE;9;begroeten;Wij <b>begroeten</b> elkaar altijd als we thuis komen.;Wat is de beste manier om een kennis te <b>begroeten</b>?;"greet;to greet";begroeten;FALSE;895.1;0.33281249999999996
63;1751345.0;1174.0;TRUE;5;nieuwsgierig;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;Ik ben <b>nieuwsgierig</b> naar de resultaten van het onderzoek.;curious;nieuwsgierig;FALSE;797.6;0.8218750000000005
64;1757018.0;996.0;TRUE;8;zelfstandig;Het is prettig als werknemers <b>zelfstandig</b> kunnen werken.;Ik vond het in het begin moeilijk om <b>zelfstandig</b> te wonen.;"independent;independently";zelfstandig;FALSE;1070.6;0.3984375
65;1761067.0;inf;TRUE;5;nieuwsgierig;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;Ik ben <b>nieuwsgierig</b> naar de resultaten van het onderzoek.;curious;nieuwsgierig;FALSE;797.6;0.8582031250000004
66;1769774.0;2143.0;TRUE;6;verwarring;De fout op de poster zorgde voor veel <b>verwarring</b>.;Tegenstrijdige berichten leiden tot <b>verwarring</b>.;confusion;verwarring;FALSE;934.1;0.36640625000000016
67;1774491.0;inf;TRUE;5;nieuwsgierig;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;Ik ben <b>nieuwsgierig</b> naar de resultaten van het onderzoek.;curious;nieuwsgierig;FALSE;797.6;0.8953125000000005
68;1781536.0;inf;TRUE;2;verwondering;Kinderen zitten vol <b>verwondering</b>.;Ik sta vol <b>verwondering</b> naar de sterren te kijken.;"wonder;surprise";verwondering;FALSE;622.1;0.41015625
69;1787571.0;2253.0;TRUE;5;nieuwsgierig;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;Ik ben <b>nieuwsgierig</b> naar de resultaten van het onderzoek.;curious;nieuwsgierig;FALSE;797.6;0.8949218750000005
70;1792220.0;1117.0;TRUE;9;begroeten;Wij <b>begroeten</b> elkaar altijd als we thuis komen.;Wat is de beste manier om een kennis te <b>begroeten</b>?;"greet;to greet";begroeten;FALSE;895.1;0.283203125
71;1796158.0;955.0;TRUE;5;nieuwsgierig;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;Ik ben <b>nieuwsgierig</b> naar de resultaten van het onderzoek.;curious;nieuwsgierig;FALSE;797.6;0.8453125000000005
72;1800124.0;inf;FALSE;10;gewoonte;Ik heb de slechte <b>gewoonte</b> om te laat te komen.;Het is een goede <b>gewoonte</b> om je handen te wassen voor het eten.;habit;gewoonte;FALSE;895.1;0.3
73;1807038.0;7326.0;TRUE;5;nieuwsgierig;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;Ik ben <b>nieuwsgierig</b> naar de resultaten van het onderzoek.;curious;nieuwsgierig;FALSE;797.6;0.8949218750000005
74;1817948.0;inf;TRUE;10;gewoonte;Ik heb de slechte <b>gewoonte</b> om te laat te komen.;Het is een goede <b>gewoonte</b> om je handen te wassen voor het eten.;habit;gewoonte;FALSE;895.1;0.349609375
75;1822696.0;943.0;TRUE;5;nieuwsgierig;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;Ik ben <b>nieuwsgierig</b> naar de resultaten van het onderzoek.;curious;nieuwsgierig;FALSE;797.6;0.8453125000000005
76;1826437.0;911.0;TRUE;8;zelfstandig;Het is prettig als werknemers <b>zelfstandig</b> kunnen werken.;Ik vond het in het begin moeilijk om <b>zelfstandig</b> te wonen.;"independent;independently";zelfstandig;FALSE;1070.6;0.34882812500000004
77;1830281.0;1043.0;TRUE;5;nieuwsgierig;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;Ik ben <b>nieuwsgierig</b> naar de resultaten van het onderzoek.;curious;nieuwsgierig;FALSE;797.6;0.7957031250000004
78;1834163.0;inf;TRUE;7;eenzaamheid;Tijdens de pandemie hadden veel studenten last van <b>eenzaamheid</b>.;<b>Eenzaamheid</b> is een groot probleem onder ouderen.;"loneliness;solitude";eenzaamheid;FALSE;1207.1;0.39335937499999996
79;1845096.0;964.0;TRUE;5;nieuwsgierig;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;Ik ben <b>nieuwsgierig</b> naar de resultaten van het onderzoek.;curious;nieuwsgierig;FALSE;797.6;0.7460937500000003
80;1851237.0;1885.0;TRUE;10;gewoonte;Ik heb de slechte <b>gewoonte</b> om te laat te komen.;Het is een goede <b>gewoonte</b> om je handen te wassen voor het eten.;habit;gewoonte;FALSE;895.1;0.30000000000000004
81;1855340.0;849.0;TRUE;3;bijeenkomst;SNIC is een <b>bijeenkomst</b> met studenten van verschillende opleidingen.;De <b>bijeenkomst</b> begint om 10 uur.;"meeting;gathering";bijeenkomst;FALSE;1304.6;0.3984375
82;1858774.0;1338.0;TRUE;2;verwondering;Kinderen zitten vol <b>verwondering</b>.;Ik sta vol <b>verwondering</b> naar de sterren te kijken.;"wonder;surprise";verwondering;FALSE;622.1;0.409765625
83;1862304.0;1042.0;TRUE;5;nieuwsgierig;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;Ik ben <b>nieuwsgierig</b> naar de resultaten van het onderzoek.;curious;nieuwsgierig;FALSE;797.6;0.6964843750000003
84;1866650.0;inf;FALSE;11;kraag;De <b>kraag</b> van mijn overhemd is te strak.;Zij greep hem bij de <b>kraag</b> toen hij iets verkeerd deed.;collar;kraag;FALSE;739.1;0.3
85;1873246.0;inf;FALSE;12;overdrijven;Sommige mensen vinden het leuk om te <b>overdrijven</b>,ik vind het verwarrend.;Je moet niet <b>overdrijven</b>,het is niet zo erg.;"exaggerate;to exaggerate";overdrijven;FALSE;1382.6;0.3
86;1880700.0;3790.0;TRUE;11;kraag;De <b>kraag</b> van mijn overhemd is te strak.;Zij greep hem bij de <b>kraag</b> toen hij iets verkeerd deed.;collar;kraag;FALSE;739.1;0.349609375
87;1886764.0;24463.0;FALSE;12;overdrijven;Sommige mensen vinden het leuk om te <b>overdrijven</b>,ik vind het verwarrend.;Je moet niet <b>overdrijven</b>,het is niet zo erg.;"exaggerate;to exaggerate";overdrijven;FALSE;1382.6;0.349609375
88;1912729.0;10365.0;TRUE;11;kraag;De <b>kraag</b> van mijn overhemd is te strak.;Zij greep hem bij de <b>kraag</b> toen hij iets verkeerd deed.;collar;kraag;FALSE;739.1;0.39921874999999996
89;1925230.0;1313.0;TRUE;12;overdrijven;Sommige mensen vinden het leuk om te <b>overdrijven</b>,ik vind het verwarrend.;Je moet niet <b>overdrijven</b>,het is niet zo erg.;"exaggerate;to exaggerate";overdrijven;FALSE;1382.6;0.30000000000000004
90;1930127.0;999.0;TRUE;5;nieuwsgierig;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;Ik ben <b>nieuwsgierig</b> naar de resultaten van het onderzoek.;curious;nieuwsgierig;FALSE;797.6;0.6468750000000002
91;1933832.0;1037.0;TRUE;11;kraag;De <b>kraag</b> van mijn overhemd is te strak.;Zij greep hem bij de <b>kraag</b> toen hij iets verkeerd deed.;collar;kraag;FALSE;739.1;0.398828125
92;1937153.0;1370.0;FALSE;13;beschrijven;Het is lastig om de smaak van een gerecht te <b>beschrijven</b>.;Kun je proberen je gevoelens te <b>beschrijven</b>?;"describe;to describe";beschrijven;FALSE;1090.1;0.3
93;1940648.0;9498.0;FALSE;14;verschrikkelijk;Ik vind het <b>verschrikkelijk</b> om voor een groep te spreken.;Het was een <b>verschrikkelijke</b> dag.;"terrible;awful;horrible;dreadful";verschrikkelijk;FALSE;1090.1;0.3
94;1951653.0;5007.0;TRUE;13;beschrijven;Het is lastig om de smaak van een gerecht te <b>beschrijven</b>.;Kun je proberen je gevoelens te <b>beschrijven</b>?;"describe;to describe";beschrijven;FALSE;1090.1;0.349609375
95;1960874.0;inf;TRUE;14;verschrikkelijk;Ik vind het <b>verschrikkelijk</b> om voor een groep te spreken.;Het was een <b>verschrikkelijke</b> dag.;"terrible;awful;horrible;dreadful";verschrikkelijk;FALSE;1090.1;0.349609375
96;1965770.0;1204.0;FALSE;2;verwondering;Kinderen zitten vol <b>verwondering</b>.;Ik sta vol <b>verwondering</b> naar de sterren te kijken.;"wonder;surprise";verwondering;FALSE;622.1;0.42421875
97;1971501.0;1058.0;TRUE;7;eenzaamheid;Tijdens de pandemie hadden veel studenten last van <b>eenzaamheid</b>.;<b>Eenzaamheid</b> is een groot probleem onder ouderen.;"loneliness;solitude";eenzaamheid;FALSE;1207.1;0.34375
98;1975702.0;1573.0;FALSE;13;beschrijven;Het is lastig om de smaak van een gerecht te <b>beschrijven</b>.;Kun je proberen je gevoelens te <b>beschrijven</b>?;"describe;to describe";beschrijven;FALSE;1090.1;0.39921874999999996
99;1979494.0;2043.0;TRUE;15;vriendschap;Deze <b>vriendschap</b> is erg belangrijk voor mij.;Een <b>vriendschap</b> moet onderhouden worden.;friendship;vriendschap;FALSE;836.6;0.3
100;1986280.0;2180.0;TRUE;14;verschrikkelijk;Ik vind het <b>verschrikkelijk</b> om voor een groep te spreken.;Het was een <b>verschrikkelijke</b> dag.;"terrible;awful;horrible;dreadful";verschrikkelijk;FALSE;1090.1;0.34921875
101;1991369.0;1047.0;TRUE;15;vriendschap;Deze <b>vriendschap</b> is erg belangrijk voor mij.;Een <b>vriendschap</b> moet onderhouden worden.;friendship;vriendschap;FALSE;836.6;0.250390625
102;1996135.0;991.0;TRUE;11;kraag;De <b>kraag</b> van mijn overhemd is te strak.;Zij greep hem bij de <b>kraag</b> toen hij iets verkeerd deed.;collar;kraag;FALSE;739.1;0.38749999999999996
103;1999340.0;914.0;TRUE;5;nieuwsgierig;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;Ik ben <b>nieuwsgierig</b> naar de resultaten van het onderzoek.;curious;nieuwsgierig;FALSE;797.6;0.5972656250000001
104;2003025.0;1773.0;TRUE;13;beschrijven;Het is lastig om de smaak van een gerecht te <b>beschrijven</b>.;Kun je proberen je gevoelens te <b>beschrijven</b>?;"describe;to describe";beschrijven;FALSE;1090.1;0.398828125
105;2008227.0;inf;TRUE;10;gewoonte;Ik heb de slechte <b>gewoonte</b> om te laat te komen.;Het is een goede <b>gewoonte</b> om je handen te wassen voor het eten.;habit;gewoonte;FALSE;895.1;0.349609375
106;2015158.0;inf;TRUE;6;verwarring;De fout op de poster zorgde voor veel <b>verwarring</b>.;Tegenstrijdige berichten leiden tot <b>verwarring</b>.;confusion;verwarring;FALSE;934.1;0.36679687500000013
107;2022558.0;2763.0;FALSE;16;moed;Er is veel <b>moed</b> voor nodig om het uit te maken.;Ik heb de <b>moed</b> niet om het te zeggen.;courage;moed;FALSE;895.1;0.3
108;2029569.0;5964.0;FALSE;17;ongemakkelijk;Het was een beetje <b>ongemakkelijk</b> op de dansvloer.;Ik voel me <b>ongemakkelijk</b> bij dit gesprek.;awkward;ongemakkelijk;FALSE;934.1;0.3
109;2037017.0;inf;TRUE;16;moed;Er is veel <b>moed</b> voor nodig om het uit te maken.;Ik heb de <b>moed</b> niet om het te zeggen.;courage;moed;FALSE;895.1;0.349609375
110;2046641.0;1729.0;TRUE;17;ongemakkelijk;Het was een beetje <b>ongemakkelijk</b> op de dansvloer.;Ik voel me <b>ongemakkelijk</b> bij dit gesprek.;awkward;ongemakkelijk;FALSE;934.1;0.250390625
111;2051141.0;inf;TRUE;2;verwondering;Kinderen zitten vol <b>verwondering</b>.;Ik sta vol <b>verwondering</b> naar de sterren te kijken.;"wonder;surprise";verwondering;FALSE;622.1;0.47382812499999993
112;2057181.0;1669.0;TRUE;14;verschrikkelijk;Ik vind het <b>verschrikkelijk</b> om voor een groep te spreken.;Het was een <b>verschrikkelijke</b> dag.;"terrible;awful;horrible;dreadful";verschrikkelijk;FALSE;1090.1;0.330078125
113;2061671.0;1314.0;TRUE;13;beschrijven;Het is lastig om de smaak van een gerecht te <b>beschrijven</b>.;Kun je proberen je gevoelens te <b>beschrijven</b>?;"describe;to describe";beschrijven;FALSE;1090.1;0.34921875
114;2066695.0;1178.0;TRUE;16;moed;Er is veel <b>moed</b> voor nodig om het uit te maken.;Ik heb de <b>moed</b> niet om het te zeggen.;courage;moed;FALSE;895.1;0.30000000000000004
115;2070064.0;968.0;TRUE;10;gewoonte;Ik heb de slechte <b>gewoonte</b> om te laat te komen.;Het is een goede <b>gewoonte</b> om je handen te wassen voor het eten.;habit;gewoonte;FALSE;895.1;0.34921875
116;2073640.0;1650.0;TRUE;2;verwondering;Kinderen zitten vol <b>verwondering</b>.;Ik sta vol <b>verwondering</b> naar de sterren te kijken.;"wonder;surprise";verwondering;FALSE;622.1;0.47343749999999996
117;2077321.0;4666.0;TRUE;12;overdrijven;Sommige mensen vinden het leuk om te <b>overdrijven</b>,ik vind het verwarrend.;Je moet niet <b>overdrijven</b>,het is niet zo erg.;"exaggerate;to exaggerate";overdrijven;FALSE;1382.6;0.349609375
118;2085513.0;977.0;TRUE;11;kraag;De <b>kraag</b> van mijn overhemd is te strak.;Zij greep hem bij de <b>kraag</b> toen hij iets verkeerd deed.;collar;kraag;FALSE;739.1;0.337890625
119;2088680.0;956.0;TRUE;8;zelfstandig;Het is prettig als werknemers <b>zelfstandig</b> kunnen werken.;Ik vond het in het begin moeilijk om <b>zelfstandig</b> te wonen.;"independent;independently";zelfstandig;FALSE;1070.6;0.2992187500000001
