trial;start_time;rt;correct;fact_id;question;context_1;context_2;answer;chosen_context;encounter_2;reading_time;fogetting_rate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1145081.0;1042.0;TRUE;6;vriendschap;Deze <b>vriendschap</b> is erg belangrijk voor mij.;Een <b>vriendschap</b> moet onderhouden worden.;friendship;Deze <b>vriendschap</b> is erg belangrijk voor mij.;FALSE;836.6;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1150071.0;7527.0;FALSE;7;verwarring;De fout op de poster zorgde voor veel <b>verwarring</b>.;Tegenstrijdige berichten leiden tot <b>verwarring</b>.;confusion;De fout op de poster zorgde voor veel <b>verwarring</b>.;FALSE;934.1;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;1159461.0;1307.0;TRUE;6;vriendschap;Deze <b>vriendschap</b> is erg belangrijk voor mij.;Een <b>vriendschap</b> moet onderhouden worden.;friendship;Deze <b>vriendschap</b> is erg belangrijk voor mij.;FALSE;836.6;0.250390625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1164583.0;674.0;TRUE;7;verwarring;De fout op de poster zorgde voor veel <b>verwarring</b>.;Tegenstrijdige berichten leiden tot <b>verwarring</b>.;confusion;De fout op de poster zorgde voor veel <b>verwarring</b>.;FALSE;934.1;0.250390625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1169169.0;4381.0;TRUE;8;scheren;Ik moet iedere morgen opnieuw de stoppels van mijn gezicht <b>scheren</b>.;Mijn vader heeft me geleerd hoe ik moet <b>scheren</b>.;shave;to shave<b>;Ik moet iedere morgen opnieuw de stoppels van mijn gezicht <b>scheren</b>.;FALSE;1285.1;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1175910.0;4044.0;TRUE;9;kraag;De <b>kraag</b> van mijn overhemd is te strak.;Zij greep hem bij de <b>kraag</b> toen hij iets verkeerd deed.;collar;De <b>kraag</b> van mijn overhemd is te strak.;FALSE;739.1;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1182300.0;1983.0;TRUE;8;scheren;Ik moet iedere morgen opnieuw de stoppels van mijn gezicht <b>scheren</b>.;Mijn vader heeft me geleerd hoe ik moet <b>scheren</b>.;shave;to shave<b>;Ik moet iedere morgen opnieuw de stoppels van mijn gezicht <b>scheren</b>.;FALSE;1285.1;0.250390625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;1186385.0;1237.0;TRUE;9;kraag;De <b>kraag</b> van mijn overhemd is te strak.;Zij greep hem bij de <b>kraag</b> toen hij iets verkeerd deed.;collar;De <b>kraag</b> van mijn overhemd is te strak.;FALSE;739.1;0.250390625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1189974.0;2592.0;TRUE;10;onverschillig;Ik ben <b>onverschillig</b> tegenover de mening van anderen.;Ze leek heel <b>onverschillig</b>,maar dat viel uiteindelijk mee.;indifferent;Ik ben <b>onverschillig</b> tegenover de mening van anderen.;FALSE;1012.1;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1197751.0;1945.0;TRUE;11;blinken;Nieuwe munten <b>blinken</b> nog.;De sterren <b>blinken</b> in de nacht.;shine;to shine;Nieuwe munten <b>blinken</b> nog.;FALSE;485.6;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;1201858.0;1858.0;TRUE;10;onverschillig;Ik ben <b>onverschillig</b> tegenover de mening van anderen.;Ze leek heel <b>onverschillig</b>,maar dat viel uiteindelijk mee.;indifferent;Ik ben <b>onverschillig</b> tegenover de mening van anderen.;FALSE;1012.1;0.250390625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;1207416.0;1423.0;TRUE;11;blinken;Nieuwe munten <b>blinken</b> nog.;De sterren <b>blinken</b> in de nacht.;shine;to shine;Nieuwe munten <b>blinken</b> nog.;FALSE;485.6;0.250390625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;1211011.0;4403.0;TRUE;1;verschrikkelijk;Ik vind het <b>verschrikkelijk</b> om voor een groep te spreken.;Het was een <b>verschrikkelijke</b> dag.;terrible;awful;horrible;dreadful;verschrikkelijk;FALSE;1090.1;0.29960937499999996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;1218279.0;1939.0;TRUE;12;eenzaamheid;Tijdens de pandemie hadden veel studenten last van <b>eenzaamheid</b>.;<b>Eenzaamheid</b> is een groot probleem onder ouderen.;loneliness;solitude;Tijdens de pandemie hadden veel studenten last van <b>eenzaamheid</b>.;FALSE;1207.1;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;1224390.0;1136.0;TRUE;2;zelfstandig;Het is prettig als werknemers <b>zelfstandig</b> kunnen werken.;Ik vond het in het begin moeilijk om <b>zelfstandig</b> te wonen.;independent;independently;zelfstandig;FALSE;1070.6;0.20078125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;1228977.0;1184.0;TRUE;12;eenzaamheid;Tijdens de pandemie hadden veel studenten last van <b>eenzaamheid</b>.;<b>Eenzaamheid</b> is een groot probleem onder ouderen.;loneliness;solitude;Tijdens de pandemie hadden veel studenten last van <b>eenzaamheid</b>.;FALSE;1207.1;0.250390625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;1233475.0;1163.0;TRUE;3;gewoonte;Ik heb de slechte <b>gewoonte</b> om te laat te komen.;Het is een goede <b>gewoonte</b> om je handen te wassen voor het eten.;habit;gewoonte;FALSE;895.1;0.20078125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;1237794.0;9198.0;FALSE;13;tevreden;Mijn baas was erg <b>tevreden</b> over het resultaat.;Hij is niet snel <b>tevreden</b>,hij is erg kritisch.;satisfied;Mijn baas was erg <b>tevreden</b> over het resultaat.;FALSE;875.6;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;1248868.0;12967.0;FALSE;14;moed;Er is veel <b>moed</b> voor nodig om het uit te maken.;Ik heb de <b>moed</b> niet om het te zeggen.;courage;Er is veel <b>moed</b> voor nodig om het uit te maken.;FALSE;895.1;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;1263785.0;2033.0;TRUE;13;tevreden;Mijn baas was erg <b>tevreden</b> over het resultaat.;Hij is niet snel <b>tevreden</b>,hij is erg kritisch.;satisfied;Mijn baas was erg <b>tevreden</b> over het resultaat.;FALSE;875.6;0.250390625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;1269644.0;2685.0;FALSE;14;moed;Er is veel <b>moed</b> voor nodig om het uit te maken.;Ik heb de <b>moed</b> niet om het te zeggen.;courage;Er is veel <b>moed</b> voor nodig om het uit te maken.;FALSE;895.1;0.349609375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;1276317.0;1556.0;TRUE;5;bijeenkomst;SNIC is een <b>bijeenkomst</b> met studenten van verschillende opleidingen.;De <b>bijeenkomst</b> begint om 10 uur.;meeting;gathering;bijeenkomst;FALSE;1304.6;0.20078125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;1280315.0;1666.0;TRUE;4;verwondering;Kinderen zitten vol <b>verwondering</b>.;Ik sta vol <b>verwondering</b> naar de sterren te kijken.;wonder;surprise;verwondering;FALSE;622.1;0.20078125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;1284245.0;4802.0;TRUE;15;nieuwsgierig;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;Ik ben <b>nieuwsgierig</b> naar de resultaten van het onderzoek.;curious;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;FALSE;797.6;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;1292010.0;4613.0;TRUE;14;moed;Er is veel <b>moed</b> voor nodig om het uit te maken.;Ik heb de <b>moed</b> niet om het te zeggen.;courage;Er is veel <b>moed</b> voor nodig om het uit te maken.;FALSE;895.1;0.39921874999999996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;1299473.0;1170.0;TRUE;15;nieuwsgierig;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;Ik ben <b>nieuwsgierig</b> naar de resultaten van het onderzoek.;curious;Ik was vroeger een heel <b>nieuwsgierig</b> kind.;FALSE;797.6;0.250390625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;1303395.0;2982.0;TRUE;1;verschrikkelijk;Ik vind het <b>verschrikkelijk</b> om voor een groep te spreken.;Het was een <b>verschrikkelijke</b> dag.;terrible;awful;horrible;dreadful;Ik vind het <b>verschrikkelijk</b> om voor een groep te spreken.;FALSE;1090.1;0.2749999999999999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;1309646.0;1016.0;TRUE;6;vriendschap;Deze <b>vriendschap</b> is erg belangrijk voor mij.;Een <b>vriendschap</b> moet onderhouden worden.;friendship;vriendschap;FALSE;836.6;0.20078125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;0.0;1317942.0;TRUE;1;verschrikkelijk;Ik vind het <b>verschrikkelijk</b> om voor een groep te spreken.;Het was een <b>verschrikkelijke</b> dag.;terrible;awful;horrible;dreadful;Ik vind het <b>verschrikkelijk</b> om voor een groep te spreken.;FALSE;1090.1;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;1320918.0;10470.0;FALSE;7;verwarring;De fout op de poster zorgde voor veel <b>verwarring</b>.;Tegenstrijdige berichten leiden tot <b>verwarring</b>.;confusion;verwarring;FALSE;934.1;0.29999999999999993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;1333528.0;1267.0;TRUE;14;moed;Er is veel <b>moed</b> voor nodig om het uit te maken.;Ik heb de <b>moed</b> niet om het te zeggen.;courage;Ik heb de <b>moed</b> niet om het te zeggen.;FALSE;895.1;0.398828125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
